price,age,hp_kW,km,Gearing_Type,make_model
28150,0.0,85.0,1647.3626086956522,Automatic,Audi A1
18400,3.0,81.0,87999.0,Automatic,Audi A3
20299,0.0,70.0,5000.0,Manual,Audi A1
9490,3.0,81.0,82992.0,Manual,Opel Astra
15400,2.0,92.0,15900.0,Manual,Audi A1
24700,1.0,110.0,10800.0,Semi-automatic,Audi A3
21500,2.0,81.0,23000.0,Automatic,Audi A3
17950,3.0,96.0,84000.0,Manual,Renault Espace
8899,2.0,55.0,49772.0,Manual,Renault Clio
22880,1.0,85.0,25500.0,Automatic,Audi A3
8200,2.0,54.0,25290.0,Manual,Renault Clio
7900,3.0,66.0,82000.0,Manual,Opel Corsa
21900,2.0,100.0,33000.0,Automatic,Opel Insignia
25059,0.0,110.0,1.0,Manual,Audi A3
20800,2.0,85.0,28605.0,Automatic,Audi A3
9940,1.0,66.0,15560.0,Manual,Opel Corsa
22990,3.0,118.0,90663.0,Automatic,Renault Espace
13690,0.0,66.0,10.0,Automatic,Opel Corsa
13500,3.0,125.0,114000.0,Manual,Opel Insignia
19650,0.0,70.0,1.0,Manual,Audi A1
14540,1.0,66.0,8900.0,Automatic,Opel Corsa
8990,1.0,51.0,26168.0,Manual,Opel Corsa
18950,1.0,110.0,16440.0,Automatic,Opel Astra
14800,1.0,100.0,30044.0,Manual,Opel Astra
14200,3.0,66.0,47300.0,Manual,Audi A1
27980,0.0,85.0,1647.3626086956522,Automatic,Audi A1
15990,1.0,110.0,18400.0,Automatic,Opel Astra
12876,3.0,100.0,82008.0,Manual,Opel Insignia
9999,1.0,54.0,17364.0,Manual,Renault Clio
26565,0.0,121.0,1647.3626086956522,Automatic,Opel Insignia
10200,1.0,66.0,29317.0,Manual,Renault Clio
8900,2.0,66.0,22697.0,Manual,Opel Corsa
8500,2.0,55.0,36000.0,Manual,Renault Clio
35450,0.0,147.0,10.0,Automatic,Opel Insignia
25200,0.0,85.0,10.0,Automatic,Audi A1
26200,0.0,85.0,1647.3626086956522,Automatic,Audi A3
25950,3.0,118.0,136863.0,Automatic,Renault Espace
23890,1.0,125.0,29900.0,Automatic,Opel Insignia
12450,1.0,66.0,32355.0,Automatic,Opel Corsa
26970,0.0,110.0,13000.0,Automatic,Audi A3
12385,1.0,66.0,1600.0,Automatic,Opel Corsa
13900,1.0,81.0,4800.0,Manual,Opel Astra
23021,1.0,162.0,10.0,Automatic,Renault Clio
23400,1.0,85.0,20000.0,Automatic,Audi A3
9990,1.0,56.0,15.0,Manual,Renault Clio
13490,1.0,66.0,4900.0,Automatic,Opel Corsa
29990,2.0,118.0,26000.0,Automatic,Renault Espace
7680,3.0,66.0,83420.0,Manual,Opel Corsa
13250,0.0,66.0,35.0,Automatic,Opel Corsa
15490,3.0,125.0,102000.0,Manual,Opel Insignia
9300,1.0,55.0,38761.0,Manual,Opel Corsa
23950,0.0,85.0,50.0,Manual,Audi A3
21490,1.0,121.0,5418.0,Manual,Opel Insignia
10350,0.0,66.0,1647.3626086956522,Manual,Opel Corsa
10950,0.0,66.0,1647.3626086956522,Manual,Opel Corsa
17900,3.0,147.0,72200.0,Automatic,Renault Espace
13890,1.0,66.0,3978.0,Automatic,Opel Corsa
9799,1.0,66.0,33519.0,Manual,Opel Corsa
15950,3.0,82.0,78968.0,Manual,Audi A3
10990,2.0,74.0,3898.0,Manual,Opel Astra
28500,0.0,121.0,1647.3626086956522,Manual,Opel Insignia
22900,1.0,100.0,32027.0,Automatic,Opel Insignia
20500,1.0,85.0,24215.0,Automatic,Audi A3
22330,1.0,92.0,4794.0,Automatic,Audi A1
11030,0.0,55.0,100.0,Manual,Opel Corsa
5490,3.0,55.0,157000.0,Manual,Opel Corsa
14400,3.0,81.0,113200.0,Manual,Audi A3
13500,3.0,92.0,110396.0,Manual,Audi A3
10800,2.0,110.0,74000.0,Manual,Opel Astra
17999,3.0,85.0,26000.0,Semi-automatic,Audi A1
21990,1.0,71.0,19999.0,Automatic,Audi A1
18965,0.0,110.0,1647.3626086956522,Manual,Opel Astra
12500,3.0,88.0,79990.0,Manual,Opel Insignia
15700,2.0,103.0,40000.0,Manual,Opel Insignia
17990,2.0,71.0,19990.0,Automatic,Audi A1
23500,0.0,85.0,10.0,Automatic,Audi A3
15425,1.0,92.0,15999.0,Manual,Opel Astra
13400,3.0,66.0,81431.0,Manual,Audi A1
18990,0.0,66.0,3.0,Manual,Opel Astra
18900,2.0,81.0,51000.0,Manual,Audi A3
8300,1.0,66.0,44109.0,Manual,Opel Corsa
16490,0.0,66.0,10.0,Manual,Opel Astra
22825,1.0,121.0,22999.0,Automatic,Opel Insignia
23850,0.0,110.0,1647.3626086956522,Automatic,Audi A3
23989,1.0,125.0,28043.0,Automatic,Opel Insignia
15475,3.0,81.0,57100.0,Manual,Audi A3
17980,1.0,103.0,9150.0,Manual,Opel Insignia
18400,3.0,81.0,87999.0,Automatic,Audi A3
27410,0.0,110.0,5.0,Automatic,Audi A3
13600,3.0,66.0,28876.0,Automatic,Opel Corsa
14350,3.0,85.0,94300.0,Automatic,Audi A1
36950,0.0,147.0,10.0,Automatic,Opel Astra
12975,2.0,100.0,42951.0,Automatic,Opel Insignia
17877,0.0,110.0,10.0,Manual,Opel Astra
16990,0.0,66.0,1647.3626086956522,Automatic,Opel Corsa
14999,1.0,92.0,54497.0,Manual,Opel Astra
21950,1.0,85.0,23568.0,Automatic,Audi A3
15990,3.0,81.0,59843.0,Manual,Audi A3
11199,0.0,51.0,8.0,Manual,Opel Corsa
8500,2.0,66.0,20446.0,Manual,Opel Corsa
9900,2.0,55.0,19900.0,Manual,Renault Clio
22950,0.0,85.0,1647.3626086956522,Manual,Audi A1
15880,2.0,66.0,49880.0,Automatic,Audi A1
8690,3.0,54.0,44000.0,Manual,Renault Clio
24690,0.0,85.0,164.0,Automatic,Audi A1
39590,0.0,121.0,1647.3626086956522,Automatic,Opel Insignia
10350,3.0,100.0,127000.0,Automatic,Opel Astra
26500,0.0,85.0,1647.3626086956522,Automatic,Audi A3
15485,1.0,87.0,22439.0,Automatic,Renault Clio
11200,0.0,74.0,1.0,Manual,Opel Corsa
35590,0.0,127.0,2000.0,Automatic,Opel Insignia
18500,1.0,70.0,15500.0,Automatic,Audi A1
24200,0.0,85.0,1647.3626086956522,Manual,Audi A3
17340,0.0,66.0,1647.3626086956522,Automatic,Opel Corsa
7250,3.0,70.0,99950.0,Manual,Opel Corsa
13990,1.0,81.0,21874.0,Manual,Opel Astra
18900,3.0,92.0,9000.0,Automatic,Audi A1
8500,2.0,51.0,45400.0,Manual,Opel Corsa
10689,0.0,51.0,10.0,Manual,Opel Corsa
21900,1.0,70.0,8098.0,Automatic,Audi A1
15850,2.0,92.0,17768.0,Manual,Audi A1
26190,0.0,110.0,15.0,Automatic,Audi A3
33995,0.0,147.0,5016.0,Automatic,Opel Astra
15950,2.0,100.0,17457.0,Automatic,Opel Astra
8750,2.0,55.0,47000.0,Manual,Renault Clio
28690,0.0,85.0,3333.0,Automatic,Audi A1
14900,2.0,87.0,75161.0,Automatic,Renault Clio
23200,1.0,85.0,7860.0,Automatic,Audi A3
7500,3.0,66.0,66000.0,Manual,Renault Clio
38879,0.0,147.0,500.0,Manual,Opel Insignia
8490,3.0,54.0,49178.0,Manual,Renault Clio
14900,1.0,81.0,5.0,Manual,Opel Astra
11500,2.0,100.0,96000.0,Manual,Opel Insignia
9900,3.0,81.0,110005.0,Manual,Opel Astra
6299,3.0,51.0,65000.0,Manual,Opel Corsa
16900,3.0,110.0,112000.0,Automatic,Audi A3
20500,2.0,125.0,25494.0,Automatic,Opel Insignia
25500,0.0,85.0,6000.0,Automatic,Audi A1
9990,3.0,70.0,136000.0,Manual,Opel Astra
20450,1.0,162.0,30000.0,Automatic,Renault Clio
15490,0.0,92.0,1900.0,Manual,Opel Astra
11299,3.0,88.0,51592.0,Manual,Opel Insignia
8399,2.0,51.0,14500.0,Manual,Opel Corsa
12999,2.0,100.0,47500.0,Automatic,Opel Astra
14480,2.0,100.0,86000.0,Automatic,Opel Insignia
12625,2.0,81.0,71905.0,Manual,Opel Astra
26400,0.0,85.0,10.0,Automatic,Audi A3
10480,3.0,125.0,179000.0,Manual,Opel Insignia
55000,2.0,294.0,24000.0,Semi-automatic,Audi A3
14500,2.0,60.0,27000.0,Manual,Audi A1
15990,2.0,110.0,21379.0,Automatic,Opel Astra
21990,3.0,118.0,139628.0,Automatic,Renault Espace
20999,2.0,110.0,85000.0,Semi-automatic,Audi A3
25800,0.0,85.0,10.0,Automatic,Audi A3
15750,2.0,66.0,22600.0,Manual,Audi A1
25000,0.0,85.0,10.0,Automatic,Audi A1
29499,1.0,118.0,19000.0,Automatic,Renault Espace
7900,2.0,55.0,45206.0,Manual,Renault Clio
18360,3.0,81.0,50000.0,Automatic,Audi A3
13890,1.0,66.0,6975.0,Automatic,Opel Corsa
11880,3.0,100.0,108785.0,Manual,Opel Insignia
22444,1.0,70.0,7000.0,Automatic,Audi A1
19990,0.0,85.0,3000.0,Manual,Audi A1
20180,1.0,121.0,28865.0,Manual,Opel Insignia
25950,0.0,147.0,10.0,Automatic,Opel Astra
12750,3.0,125.0,159000.0,Automatic,Opel Insignia
17890,2.0,101.0,25203.0,Automatic,Opel Astra
16999,2.0,81.0,60000.0,Automatic,Audi A3
13746,1.0,66.0,11055.0,Automatic,Opel Corsa
20171,0.0,103.0,1647.3626086956522,Manual,Opel Insignia
24700,0.0,85.0,1.0,Manual,Audi A3
9600,2.0,81.0,66000.0,Manual,Opel Astra
24950,0.0,110.0,5000.0,Manual,Audi A3
24500,1.0,110.0,20000.0,Semi-automatic,Audi A3
15600,3.0,81.0,50700.0,Manual,Audi A3
11500,3.0,66.0,4900.0,Automatic,Opel Corsa
19900,2.0,85.0,44100.0,Automatic,Audi A3
20490,2.0,141.0,45000.0,Automatic,Audi A1
26015,0.0,85.0,100.0,Automatic,Audi A3
26100,1.0,110.0,7000.0,Semi-automatic,Audi A3
14450,3.0,87.0,8750.0,Automatic,Renault Clio
14990,1.0,81.0,18035.130066815145,Manual,Opel Astra
15090,3.0,85.0,63668.0,Automatic,Audi A1
14500,2.0,100.0,70000.0,Automatic,Opel Astra
13900,1.0,110.0,12758.0,Manual,Opel Astra
29702,0.0,100.0,15.0,Automatic,Opel Insignia
12500,3.0,88.0,55000.0,Automatic,Renault Clio
12530,2.0,81.0,27570.0,Manual,Opel Astra
9950,1.0,66.0,12545.0,Manual,Opel Corsa
17980,0.0,66.0,1500.0,Automatic,Opel Corsa
17400,2.0,85.0,25000.0,Manual,Audi A3
15950,0.0,66.0,1647.3626086956522,Automatic,Opel Corsa
20500,2.0,110.0,12345.0,Automatic,Audi A1
10990,0.0,55.0,1.0,Manual,Renault Clio
11500,2.0,66.0,32713.0,Automatic,Renault Clio
9790,3.0,100.0,142529.0,Manual,Opel Astra
9745,1.0,51.0,15693.0,Manual,Opel Corsa
30000,1.0,118.0,11000.0,Semi-automatic,Renault Espace
30450,0.0,147.0,10.0,Automatic,Opel Insignia
26990,2.0,96.0,10400.0,Manual,Renault Espace
21949,1.0,70.0,7500.0,Automatic,Audi A1
33450,0.0,154.0,250.0,Automatic,Opel Insignia
14490,1.0,92.0,12230.0,Manual,Opel Astra
37450,0.0,154.0,10.0,Automatic,Opel Insignia
14990,1.0,92.0,1501.0,Manual,Opel Astra
12680,2.0,81.0,32754.0,Manual,Opel Astra
19790,2.0,85.0,28364.0,Manual,Audi A3
17810,2.0,85.0,36700.0,Manual,Audi A3
12500,2.0,100.0,116523.0,Automatic,Opel Insignia
21400,1.0,85.0,24500.0,Manual,Audi A3
14990,3.0,110.0,27647.0,Automatic,Opel Astra
14900,3.0,125.0,98500.0,Manual,Opel Insignia
18925,1.0,100.0,14648.0,Manual,Opel Insignia
26970,0.0,85.0,5000.0,Automatic,Audi A3
12000,0.0,81.0,1647.3626086956522,Manual,Renault Duster
18990,0.0,92.0,10.0,Manual,Opel Astra
10990,0.0,51.0,5.0,Manual,Opel Corsa
27490,0.0,85.0,3011.0,Automatic,Audi A1
10950,3.0,100.0,76000.0,Manual,Opel Insignia
37990,0.0,147.0,3970.0,Automatic,Opel Insignia
15950,2.0,85.0,117000.0,Manual,Audi A3
17990,0.0,66.0,3.0,Manual,Opel Astra
8499,3.0,55.0,77000.0,Manual,Renault Clio
20750,1.0,121.0,29420.0,Manual,Opel Insignia
19480,2.0,81.0,66000.0,Automatic,Audi A3
16900,1.0,85.0,20951.0,Manual,Audi A1
47950,0.0,147.0,10.0,Automatic,Renault Espace
25990,0.0,110.0,2962.0,Automatic,Opel Astra
8900,2.0,66.0,66100.0,Manual,Opel Corsa
23880,0.0,85.0,9500.0,Manual,Audi A3
25800,0.0,85.0,3477.0,Automatic,Audi A3
10600,2.0,81.0,80000.0,Manual,Opel Astra
24490,0.0,85.0,1647.3626086956522,Manual,Audi A3
24900,0.0,85.0,10.0,Automatic,Audi A3
15450,2.0,85.0,25844.0,Manual,Audi A1
17900,2.0,70.0,13000.0,Automatic,Audi A1
13990,1.0,92.0,22391.0,Manual,Opel Astra
39945,0.0,147.0,19000.0,Automatic,Opel Insignia
10848,0.0,51.0,3.0,Manual,Opel Corsa
18000,2.0,81.0,100519.0,Manual,Audi A3
21815,0.0,100.0,1647.3626086956522,Automatic,Opel Astra
28940,0.0,147.0,10.0,Automatic,Audi A1
12499,1.0,66.0,19000.0,Automatic,Opel Corsa
10480,3.0,100.0,107915.0,Manual,Opel Astra
11400,0.0,55.0,1647.3626086956522,Manual,Renault Clio
14990,2.0,66.0,35912.0,Automatic,Renault Clio
18990,2.0,85.0,25000.0,Automatic,Audi A3
17690,1.0,100.0,28774.0,Automatic,Opel Astra
25190,0.0,85.0,263.0,Automatic,Audi A1
19480,2.0,81.0,50500.0,Manual,Audi A3
12950,2.0,77.0,17586.0,Manual,Opel Astra
13990,1.0,66.0,51.0,Automatic,Opel Corsa
7500,3.0,54.0,41000.0,Manual,Renault Clio
10990,0.0,66.0,250.0,Manual,Opel Corsa
24950,3.0,118.0,84938.0,Automatic,Renault Espace
28980,0.0,85.0,15.0,Automatic,Audi A1
22350,0.0,85.0,1647.3626086956522,Manual,Audi A1
15390,0.0,66.0,3001.0,Automatic,Opel Corsa
24444,0.0,110.0,3806.0,Manual,Audi A3
23500,0.0,85.0,4800.0,Manual,Audi A3
11500,2.0,80.0,62000.0,Manual,Opel Astra
8400,1.0,66.0,41140.0,Manual,Opel Corsa
15650,0.0,66.0,3.0,Automatic,Opel Corsa
21995,3.0,96.0,75249.0,Manual,Renault Espace
16978,1.0,60.0,2650.0,Manual,Audi A1
8989,2.0,66.0,41886.0,Manual,Opel Corsa
14500,3.0,66.0,73000.0,Automatic,Audi A1
15834,1.0,66.0,22225.0,Manual,Audi A1
23800,1.0,85.0,32000.0,Automatic,Audi A3
17990,2.0,100.0,8471.0,Manual,Opel Insignia
24980,0.0,110.0,50.0,Manual,Audi A3
25880,0.0,85.0,1647.3626086956522,Automatic,Audi A1
6900,3.0,55.0,124000.0,Manual,Renault Clio
26995,0.0,121.0,1.0,Automatic,Opel Insignia
18990,1.0,110.0,20661.0,Automatic,Opel Astra
25990,0.0,85.0,4500.0,Automatic,Audi A3
17490,0.0,92.0,50.0,Manual,Opel Astra
8290,2.0,66.0,46370.0,Manual,Opel Corsa
32345,0.0,147.0,1647.3626086956522,Automatic,Opel Insignia
25500,0.0,85.0,1647.3626086956522,Automatic,Audi A1
11222,0.0,55.0,1647.3626086956522,Manual,Renault Clio
19940,0.0,110.0,6937.0,Automatic,Opel Astra
49900,0.0,165.0,10720.0,Automatic,Renault Espace
40970,0.0,165.0,10.0,Automatic,Renault Espace
15400,1.0,60.0,17000.0,Manual,Audi A1
13490,1.0,66.0,5751.0,Automatic,Opel Corsa
12480,3.0,125.0,136672.0,Manual,Opel Insignia
12545,3.0,88.0,23491.0,Automatic,Renault Clio
7750,3.0,55.0,129617.0,Manual,Opel Corsa
16400,2.0,125.0,7000.0,Manual,Opel Insignia
14295,2.0,86.0,71240.0,Manual,Audi A1
20690,0.0,92.0,10.0,Manual,Audi A1
28490,1.0,85.0,19000.0,Semi-automatic,Audi A3
15900,3.0,85.0,55300.0,Semi-automatic,Audi A1
14900,1.0,100.0,21452.0,Manual,Opel Astra
15330,1.0,77.0,25600.0,Manual,Opel Astra
16890,0.0,66.0,1647.3626086956522,Manual,Opel Astra
7950,3.0,51.0,117736.0,Manual,Opel Corsa
11490,2.0,100.0,94390.0,Automatic,Opel Insignia
31890,0.0,165.0,1647.3626086956522,Automatic,Renault Espace
18900,1.0,85.0,14523.0,Automatic,Audi A1
9900,1.0,51.0,37490.0,Manual,Opel Corsa
18480,0.0,92.0,2500.0,Manual,Opel Astra
21900,1.0,85.0,19000.0,Automatic,Audi A3
14900,1.0,100.0,27247.0,Manual,Opel Astra
9600,0.0,51.0,50.0,Manual,Opel Corsa
19740,2.0,110.0,55379.0,Manual,Audi A3
15490,0.0,66.0,3650.0,Automatic,Opel Corsa
15780,3.0,81.0,53500.0,Manual,Audi A3
14950,0.0,66.0,10.0,Automatic,Opel Corsa
25692,0.0,122.0,1.0,Automatic,Opel Insignia
10950,3.0,81.0,100311.0,Manual,Opel Astra
17980,2.0,85.0,19999.0,Manual,Audi A3
17890,3.0,81.0,43689.0,Automatic,Audi A3
26900,0.0,85.0,11.0,Automatic,Audi A3
9950,1.0,55.0,18000.0,Manual,Opel Corsa
29950,2.0,118.0,31501.0,Automatic,Renault Espace
15990,0.0,66.0,5.0,Manual,Opel Astra
23716,0.0,100.0,1647.3626086956522,Automatic,Opel Insignia
19500,1.0,121.0,28949.0,Manual,Opel Insignia
19990,0.0,70.0,1647.3626086956522,Manual,Audi A1
21190,0.0,70.0,1647.3626086956522,Manual,Audi A1
19400,2.0,81.0,26471.0,Automatic,Audi A3
33899,0.0,147.0,4899.0,Manual,Opel Insignia
8800,2.0,54.0,36000.0,Manual,Renault Clio
26900,0.0,85.0,1647.3626086956522,Automatic,Audi A3
37235,0.0,154.0,1647.3626086956522,Automatic,Opel Insignia
15990,0.0,77.0,2500.0,Manual,Opel Astra
13440,1.0,66.0,6138.0,Automatic,Opel Corsa
20800,2.0,125.0,31207.0,Automatic,Opel Insignia
18500,1.0,85.0,13406.0,Automatic,Audi A1
15485,1.0,87.0,27188.0,Automatic,Renault Clio
18900,2.0,81.0,36348.0,Manual,Audi A3
15950,0.0,66.0,23.0,Automatic,Opel Corsa
17980,2.0,100.0,9100.0,Manual,Opel Insignia
15100,1.0,70.0,21745.0,Manual,Audi A1
37990,1.0,118.0,1.0,Automatic,Renault Espace
17900,2.0,88.0,7164.0,Manual,Opel Insignia
17850,1.0,110.0,29900.0,Automatic,Opel Astra
10990,0.0,55.0,50.0,Manual,Opel Corsa
8600,2.0,55.0,19565.0,Manual,Opel Corsa
16200,1.0,100.0,33753.0,Automatic,Opel Astra
14900,2.0,100.0,77233.0,Automatic,Opel Insignia
26666,1.0,162.0,1600.0,Automatic,Renault Clio
11990,1.0,66.0,11211.0,Automatic,Opel Corsa
21450,1.0,85.0,1250.0,Manual,Audi A3
11680,3.0,125.0,178959.0,Manual,Opel Insignia
22789,1.0,71.0,15184.0,Automatic,Audi A1
9900,1.0,51.0,22264.0,Manual,Opel Corsa
18700,2.0,85.0,76867.0,Manual,Audi A3
11100,0.0,55.0,1647.3626086956522,Manual,Renault Clio
12750,0.0,66.0,6730.0,Automatic,Opel Corsa
18135,0.0,66.0,1647.3626086956522,Manual,Opel Astra
21900,1.0,162.0,18900.0,Automatic,Renault Clio
13100,3.0,81.0,116000.0,Manual,Audi A3
13900,3.0,70.0,40200.0,Manual,Audi A1
9824,2.0,55.0,23000.0,Manual,Renault Clio
36000,1.0,165.0,150.0,Automatic,Renault Espace
10900,3.0,81.0,92440.0,Manual,Opel Astra
10979,0.0,51.0,10.0,Manual,Opel Corsa
26700,0.0,85.0,10.0,Automatic,Audi A1
41000,3.0,270.0,30000.0,Semi-automatic,Audi A3
23500,1.0,85.0,15200.0,Automatic,Audi A3
16650,2.0,81.0,12315.0,Manual,Opel Insignia
18490,1.0,100.0,11883.0,Automatic,Opel Insignia
16800,0.0,66.0,10.0,Automatic,Renault Clio
22000,1.0,85.0,21930.0,Automatic,Audi A3
14680,1.0,66.0,11465.0,Automatic,Opel Corsa
19013,3.0,118.0,93258.0,Automatic,Renault Espace
15145,3.0,92.0,76592.0,Manual,Audi A3
11490,3.0,67.0,66222.0,Automatic,Renault Clio
14900,2.0,100.0,39000.0,Automatic,Opel Astra
5900,3.0,66.0,163500.0,Manual,Renault Clio
19888,0.0,70.0,35.0,Manual,Audi A1
20500,1.0,85.0,12903.0,Automatic,Audi A1
15950,3.0,110.0,95270.0,Automatic,Audi A3
21440,2.0,100.0,9521.0,Automatic,Opel Insignia
22450,1.0,85.0,26759.0,Automatic,Audi A3
15990,2.0,110.0,21379.0,Automatic,Opel Astra
14490,2.0,87.0,26158.0,Manual,Audi A1
28950,2.0,118.0,15200.0,Automatic,Renault Espace
10000,1.0,54.0,8000.0,Manual,Renault Clio
8300,2.0,51.0,53390.0,Manual,Opel Corsa
19400,2.0,66.0,11837.0,Automatic,Audi A1
13980,3.0,103.0,72167.0,Manual,Opel Insignia
15900,3.0,100.0,45581.0,Automatic,Opel Astra
14490,1.0,100.0,49990.0,Automatic,Opel Astra
15900,2.0,70.0,62329.0,Manual,Audi A1
23000,0.0,85.0,15.0,Automatic,Audi A3
11990,3.0,66.0,22635.0,Automatic,Opel Corsa
24288,0.0,110.0,10.0,Manual,Audi A3
14990,3.0,66.0,49351.0,Automatic,Audi A1
7900,3.0,66.0,85899.0,Manual,Opel Corsa
8350,3.0,66.0,133523.0,Automatic,Renault Clio
14990,3.0,66.0,49351.0,Automatic,Audi A1
8300,1.0,66.0,42323.0,Manual,Opel Corsa
21490,1.0,85.0,19614.0,Automatic,Audi A3
7900,3.0,66.0,59000.0,Manual,Renault Clio
15500,2.0,87.0,11000.0,Automatic,Renault Clio
16980,3.0,110.0,75500.0,Automatic,Audi A3
10945,0.0,54.0,10.0,Manual,Renault Clio
15800,3.0,81.0,94000.0,Manual,Audi A3
17495,3.0,100.0,30680.0,Automatic,Opel Insignia
22500,1.0,85.0,6000.0,Automatic,Audi A3
21200,1.0,100.0,20600.0,Automatic,Opel Insignia
8300,2.0,66.0,42471.0,Manual,Opel Corsa
15890,0.0,66.0,3201.0,Automatic,Opel Corsa
28490,0.0,121.0,10.0,Automatic,Opel Insignia
15990,2.0,110.0,57474.0,Automatic,Opel Astra
14590,3.0,81.0,160385.0,Automatic,Audi A3
23600,1.0,110.0,8700.0,Automatic,Audi A3
7495,3.0,55.0,58000.0,Manual,Opel Corsa
21390,0.0,70.0,1647.3626086956522,Manual,Audi A1
8990,1.0,51.0,25001.0,Manual,Opel Corsa
21001,0.0,103.0,1647.3626086956522,Manual,Opel Insignia
10990,0.0,51.0,12.0,Manual,Opel Corsa
21695,1.0,85.0,3800.0,Manual,Audi A3
64332,0.0,165.0,1.0,Automatic,Renault Espace
18500,1.0,103.0,38100.0,Manual,Opel Insignia
11950,2.0,66.0,29800.0,Automatic,Opel Corsa
26500,0.0,85.0,5800.0,Automatic,Audi A3
26900,0.0,85.0,5500.0,Automatic,Audi A3
15110,3.0,110.0,79000.0,Automatic,Opel Astra
8699,2.0,52.0,34980.0,Manual,Opel Corsa
14500,2.0,85.0,25500.0,Manual,Audi A1
16480,3.0,96.0,85500.0,Manual,Renault Espace
10949,3.0,100.0,172357.0,Automatic,Opel Insignia
19450,1.0,103.0,13314.0,Manual,Opel Insignia
26300,0.0,85.0,15.0,Automatic,Audi A1
8500,2.0,66.0,25900.0,Manual,Opel Corsa
23750,1.0,96.0,48403.0,Manual,Renault Espace
39450,0.0,154.0,10.0,Automatic,Opel Insignia
11250,0.0,51.0,100.0,Manual,Opel Corsa
15650,0.0,66.0,10.0,Automatic,Opel Corsa
14950,1.0,100.0,19000.0,Manual,Opel Astra
16500,3.0,81.0,42000.0,Automatic,Audi A3
26800,1.0,162.0,19350.0,Automatic,Renault Clio
